OSM_Data
"{'type': 'node', 'id': 3764959467, 'lat': 35.3982688, 'lon': 116.5879338, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '济宁市第一人民医院'}}"
"{'type': 'node', 'id': 8955360589, 'lat': 34.9502721, 'lon': 115.8817524, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '成武县便民诊所'}}"
"{'type': 'node', 'id': 8956668686, 'lat': 34.9619003, 'lon': 115.8725205, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '邵氏诊所'}}"
"{'type': 'node', 'id': 8962456909, 'lat': 34.9577881, 'lon': 115.906427, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '丝织厂医务室'}}"
"{'type': 'node', 'id': 8962549971, 'lat': 34.9545106, 'lon': 115.9343962, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武益民康复医院'}}"
"{'type': 'node', 'id': 8962843923, 'lat': 34.9630624, 'lon': 115.9749463, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '苟村镇中心卫生院'}}"
"{'type': 'node', 'id': 8967820729, 'lat': 35.0227241, 'lon': 115.9139112, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '福兴医院'}}"
"{'type': 'node', 'id': 9040811558, 'lat': 34.9487579, 'lon': 115.9007009, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '好亿家仁和医药N07'}}"
"{'type': 'node', 'id': 9040847614, 'lat': 34.9587323, 'lon': 115.9039031, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '相合牙科'}}"
"{'type': 'node', 'id': 9040847616, 'lat': 34.9609475, 'lon': 115.9034211, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县妇幼保健院'}}"
"{'type': 'node', 'id': 9450304391, 'lat': 35.9740109, 'lon': 115.8702822, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '台前县新区妇幼保健院'}}"
"{'type': 'node', 'id': 9757480680, 'lat': 35.8326979, 'lon': 115.9451722, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '杨营村卫生室'}}"
"{'type': 'node', 'id': 9920538932, 'lat': 34.7840658, 'lon': 116.0827844, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '漱玉平民大药房(健康路店)'}}"
"{'type': 'node', 'id': 9930019114, 'lat': 34.7975609, 'lon': 116.0783348, 'tags': {'healthcare': 'podiatrist', 'name': '良子足疗'}}"
"{'type': 'node', 'id': 10028961449, 'lat': 34.7728788, 'lon': 115.650934, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '李庄行政村卫生室'}}"
"{'type': 'node', 'id': 10979129314, 'lat': 34.7804684, 'lon': 116.0824318, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '漱玉平民大药房(单县凤凰城店)'}}"
"{'type': 'node', 'id': 10989595585, 'lat': 34.7937613, 'lon': 116.0884081, 'tags': {'healthcare': 'podiatrist', 'name': '郭氏修脚堂'}}"
"{'type': 'node', 'id': 11374724070, 'lat': 35.5246034, 'lon': 115.553235, 'tags': {'addr:housenumber': '369号', 'addr:street': '长江大街', 'amenity': 'hospital', 'internet_access': 'wlan', 'name': '鄄城县人民医院（南院区）', 'name:en': ""Juancheng County People's Hospital (South Campus)"", 'opening_hours': '24/7', 'phone': '+86 530 242 1284'}}"
"{'type': 'node', 'id': 11568752982, 'lat': 35.9170527, 'lon': 116.4655734, 'tags': {'healthcare': 'podiatrist', 'name': '润足坊'}}"
"{'type': 'node', 'id': 11568753001, 'lat': 35.918719, 'lon': 116.4657264, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '卫生室'}}"
"{'type': 'node', 'id': 11576047102, 'lat': 35.6881379, 'lon': 115.4343541, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '辛庄乡中心卫生院'}}"
"{'type': 'node', 'id': 11680932950, 'lat': 35.9575608, 'lon': 115.8668785, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'healthcare:speciality': 'ophthalmology', 'name': '台前县眼科医院'}}"
"{'type': 'node', 'id': 11681036552, 'lat': 35.9119164, 'lon': 116.468967, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '李范村社区卫生室'}}"
"{'type': 'node', 'id': 11841103533, 'lat': 35.9036789, 'lon': 115.4905377, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '范县儿童医院'}}"
"{'type': 'node', 'id': 11841103541, 'lat': 35.9047746, 'lon': 115.4934874, 'tags': {'addr:city': '濮阳市', 'addr:district': '范县', 'addr:housenumber': '2号', 'addr:province': '河南省', 'addr:street': '东大街', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': '范县第三人民医院'}}"
