OSM_Data
"{'type': 'node', 'id': 3791125836, 'lat': 34.8244967, 'lon': 115.5412088, 'tags': {'amenity': 'hospital', 'name': '曹县公费医院'}}"
"{'type': 'node', 'id': 11578182431, 'lat': 35.4421482, 'lon': 115.1031422, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '郎中乡卫生院'}}"
"{'type': 'node', 'id': 11578199166, 'lat': 35.4354206, 'lon': 115.1038362, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 11809358055, 'lat': 35.7467132, 'lon': 115.0032317, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '濮上南路', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': '胡德武卫生室'}}"
"{'type': 'node', 'id': 11809358056, 'lat': 35.7471619, 'lon': 115.0038692, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '濮上南路', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': '社区卫生服务'}}"
"{'type': 'node', 'id': 11811039134, 'lat': 35.7430869, 'lon': 115.0214023, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '站前路', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': '社区卫生服务'}}"
"{'type': 'node', 'id': 11811039135, 'lat': 35.7431254, 'lon': 115.0208212, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '站前路', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '同济大药房'}}"
"{'type': 'node', 'id': 11811039136, 'lat': 35.7430026, 'lon': 115.0253373, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '京开大道', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '张仲景大药房'}}"
"{'type': 'node', 'id': 11826687376, 'lat': 35.6605355, 'lon': 114.9319358, 'tags': {'addr:city': '濮阳市', 'addr:district': '经济技术开发区', 'addr:province': '河南省', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': '新习卫生院'}}"
"{'type': 'node', 'id': 11826687377, 'lat': 35.6610736, 'lon': 114.9308301, 'tags': {'addr:city': '濮阳市', 'addr:district': '经济技术开发区', 'addr:province': '河南省', 'amenity': 'dentist', 'healthcare': 'dentist', 'name': '博越口腔'}}"
"{'type': 'node', 'id': 11826687391, 'lat': 35.6568209, 'lon': 114.9318809, 'tags': {'addr:city': '濮阳市', 'addr:district': '经济技术开发区', 'addr:province': '河南省', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '益民药店'}}"
"{'type': 'node', 'id': 11826687393, 'lat': 35.6601704, 'lon': 114.9309352, 'tags': {'addr:city': '濮阳市', 'addr:district': '经济技术开发区', 'addr:province': '河南省', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '普济大药房'}}"
"{'type': 'node', 'id': 11826687396, 'lat': 35.6822668, 'lon': 114.9781837, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '火厢头村卫生室'}}"
"{'type': 'node', 'id': 11913167711, 'lat': 35.7492108, 'lon': 115.0120636, 'tags': {'addr:city': '濮阳市', 'addr:district': '华龙区', 'addr:province': '河南省', 'addr:street': '石化中路', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '好心人大药房'}}"
