OSM_Data
"{'type': 'node', 'id': 3387641481, 'lat': 12.0808992, 'lon': -1.346669, 'tags': {'amenity': 'hospital', 'name': 'CMA de Kombissiri'}}"
"{'type': 'node', 'id': 5416625541, 'lat': 12.1942294, 'lon': -1.8742071, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 5714864332, 'lat': 12.0620441, 'lon': -1.3338494, 'tags': {'amenity': 'hospital', 'name': 'CSPS urbain de KOMBISSIRI', 'name:fr': 'CSPS urbain de KOMBISSIRI'}}"
"{'type': 'node', 'id': 8340224323, 'lat': 12.0774213, 'lon': -2.0008448, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sam', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8342864284, 'lat': 12.0957085, 'lon': -2.035692, 'tags': {'Observation': 'En construction', 'amenity': 'hospital', 'name': 'CSPS de Savili', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8346952592, 'lat': 12.0307806, 'lon': -2.0843929, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Soula', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8379019006, 'lat': 12.1421229, 'lon': -1.9797733, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Nomgomto', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8381902768, 'lat': 12.1866154, 'lon': -1.9623497, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Dapoya (Sakoinsé)'}}"
"{'type': 'node', 'id': 8394847727, 'lat': 12.1903409, 'lon': -1.8742338, 'tags': {'amenity': 'hospital', 'name': 'CM de Kokologho', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8617938417, 'lat': 12.1971213, 'lon': -1.5454001, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Wendy na Tiip'}}"
"{'type': 'node', 'id': 8643568542, 'lat': 12.2106585, 'lon': -1.9060475, 'tags': {'amenity': 'hospital', 'name': 'Maternité de Douré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8651632643, 'lat': 12.2279364, 'lon': -1.9391647, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Goulouré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8677054813, 'lat': 12.1568999, 'lon': -2.0394284, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Tanghin-Wobdo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8684222436, 'lat': 12.0528875, 'lon': -2.0926702, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Kamsé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8706626557, 'lat': 11.9797342, 'lon': -2.1306315, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Koukin', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8724656239, 'lat': 12.089511, 'lon': -2.1513382, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Nariou', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8731009060, 'lat': 12.1919716, 'lon': -2.1022283, 'tags': {'amenity': 'hospital', 'name': 'CSPS du Secteur 1', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8746516228, 'lat': 12.1289866, 'lon': -2.1968566, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Gogo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8746815360, 'lat': 12.1739061, 'lon': -2.1876727, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8827252442, 'lat': 11.9486877, 'lon': -2.1973166, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Thyou', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8832499146, 'lat': 12.03162, 'lon': -2.1886584, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sogpelcé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8836976721, 'lat': 12.0598963, 'lon': -2.2236961, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Sabou', 'operator': 'Publc'}}"
"{'type': 'node', 'id': 8839898621, 'lat': 11.9542442, 'lon': -2.2490215, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Goumogo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8848046560, 'lat': 12.0118279, 'lon': -2.233344, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Moukouan', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8867614663, 'lat': 12.0510526, 'lon': -2.2576274, 'tags': {'Observation': ""Présence d'une antenne chirurgicale"", 'amenity': 'hospital', 'name': 'CMA de Sabou', 'operator': 'Publc'}}"
"{'type': 'node', 'id': 8878444531, 'lat': 12.1235964, 'lon': -2.241848, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Namanéguéma', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8898646458, 'lat': 11.8632009, 'lon': -2.2730246, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Zinou', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9597326864, 'lat': 12.2070749, 'lon': -2.1085221, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical de Poa', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9625748657, 'lat': 12.2003269, 'lon': -2.1584058, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10217669314, 'lat': 11.4269861, 'lon': -2.4036536, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10732778184, 'lat': 12.193056, 'lon': -1.8758128, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie de Kokologo'}}"
"{'type': 'node', 'id': 10940362331, 'lat': 12.2028122, 'lon': -1.579797, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10960884190, 'lat': 12.2177536, 'lon': -1.6959018, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10972068215, 'lat': 12.0373059, 'lon': -1.5066129, 'tags': {'amenity': 'hospital', 'name': 'Maternité'}}"
"{'type': 'node', 'id': 10973391458, 'lat': 12.0376725, 'lon': -1.5087882, 'tags': {'amenity': 'pharmacy', 'name': 'Dépôt pharmaceutique'}}"
"{'type': 'node', 'id': 10973391459, 'lat': 12.037727, 'lon': -1.5086031, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10976186568, 'lat': 12.0166813, 'lon': -1.5512958, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10983645006, 'lat': 11.978278, 'lon': -1.4641817, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10996772809, 'lat': 12.0925639, 'lon': -1.4341584, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11005632539, 'lat': 11.9876357, 'lon': -1.3816729, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11005632540, 'lat': 11.9876449, 'lon': -1.3815442, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 11010704226, 'lat': 11.9327774, 'lon': -1.4201412, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11016391745, 'lat': 12.1202345, 'lon': -1.3675055, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11019642046, 'lat': 12.1386511, 'lon': -1.3897651, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11064474939, 'lat': 12.1889933, 'lon': -1.3998234, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Koubri', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11544954608, 'lat': 12.1799002, 'lon': -1.6303697, 'tags': {'healthcare': 'yes', 'name': 'Mutuelle de santé'}}"
"{'type': 'node', 'id': 11545000571, 'lat': 12.1888652, 'lon': -1.6289377, 'tags': {'healthcare': 'centre', 'name': 'Centre de Dépistage et de Prise en Charge Précoce des Cancers Gynécologiques'}}"
"{'type': 'node', 'id': 12219011573, 'lat': 11.8169381, 'lon': -1.4128241, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12219407758, 'lat': 11.8985117, 'lon': -1.4045146, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12219408057, 'lat': 11.8753094, 'lon': -1.4675586, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12222294442, 'lat': 11.9005825, 'lon': -1.3584839, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12222557451, 'lat': 12.0009061, 'lon': -1.2473103, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12222558021, 'lat': 11.9520006, 'lon': -1.3122681, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12229587084, 'lat': 11.8813464, 'lon': -1.4273161, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12231836601, 'lat': 12.0860385, 'lon': -1.2393442, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12231947089, 'lat': 12.1088162, 'lon': -1.3003323, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12232119010, 'lat': 11.8686122, 'lon': -1.4703441, 'tags': {'amenity': 'hospital', 'name': 'CSPS Nitaoré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12258390332, 'lat': 11.9072121, 'lon': -1.2821925, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 12466207292, 'lat': 11.8479734, 'lon': -1.5586638, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
