OSM_Data
"{'type': 'node', 'id': 3392317860, 'lat': 44.7626104, 'lon': 129.683339, 'tags': {'amenity': 'hospital', 'name': '林业医院'}}"
"{'type': 'node', 'id': 5382019748, 'lat': 45.3470917, 'lon': 130.8362824, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '华泰'}}"
"{'type': 'node', 'id': 5382019751, 'lat': 45.3472086, 'lon': 130.837366, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '宝康医药连锁'}}"
"{'type': 'node', 'id': 5382019758, 'lat': 45.3474323, 'lon': 130.8377942, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '天成药店'}}"
"{'type': 'node', 'id': 5382019759, 'lat': 45.3474736, 'lon': 130.837873, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 5382045976, 'lat': 45.3476625, 'lon': 130.8382184, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '迈典口腔门诊部'}}"
"{'type': 'node', 'id': 5382045993, 'lat': 45.3517439, 'lon': 130.8404827, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5382085226, 'lat': 45.3448997, 'lon': 130.839356, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '东方药店'}}"
"{'type': 'node', 'id': 5408899303, 'lat': 44.6908646, 'lon': 130.5363551, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5408899307, 'lat': 44.690749, 'lon': 130.5341299, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '马桥河镇医院'}}"
"{'type': 'node', 'id': 5409044239, 'lat': 44.9246388, 'lon': 130.5204025, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '穆棱市人民医院'}}"
"{'type': 'node', 'id': 5426227083, 'lat': 45.2917072, 'lon': 130.9478014, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '康新医院'}}"
"{'type': 'node', 'id': 5643716229, 'lat': 45.2294555, 'lon': 130.4010123, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '奎山骨科医院'}}"
"{'type': 'node', 'id': 5738883508, 'lat': 45.283553, 'lon': 130.9464279, 'tags': {'healthcare': 'yes', 'name': '疾病预防控制中心'}}"
"{'type': 'node', 'id': 5800103104, 'lat': 45.308271, 'lon': 130.9417745, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '铁路医院'}}"
"{'type': 'node', 'id': 5814145053, 'lat': 45.3144104, 'lon': 130.9421114, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '鸡西大众医院'}}"
"{'type': 'node', 'id': 6197789798, 'lat': 45.3562809, 'lon': 130.8406669, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '誉寿堂药店', 'phone': '2579929'}}"
"{'type': 'node', 'id': 7743814303, 'lat': 45.3017127, 'lon': 130.918067, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '锐健大药房'}}"
"{'type': 'node', 'id': 8671838668, 'lat': 45.3560144, 'lon': 130.8410883, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '我爱我家医药连锁'}}"
"{'type': 'node', 'id': 8671838671, 'lat': 45.355718, 'lon': 130.84037, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 8830906105, 'lat': 45.3486665, 'lon': 130.8393967, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '王冬仁牙镶复所', 'phone': '2473336'}}"
"{'type': 'node', 'id': 8830924517, 'lat': 45.3481736, 'lon': 130.838322, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '惠宏药店'}}"
"{'type': 'node', 'id': 8830924521, 'lat': 45.3479591, 'lon': 130.8380041, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 8830924524, 'lat': 45.3478381, 'lon': 130.8377945, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '心慈药店'}}"
"{'type': 'node', 'id': 8830924526, 'lat': 45.3477077, 'lon': 130.8375517, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '健欣药店'}}"
"{'type': 'node', 'id': 8830924528, 'lat': 45.3476222, 'lon': 130.8373861, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '牙镶复所'}}"
"{'type': 'node', 'id': 8856989778, 'lat': 45.2400518, 'lon': 130.9282453, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '立新村卫生室'}}"
"{'type': 'node', 'id': 8857004644, 'lat': 45.2117209, 'lon': 130.9238354, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '宝仁堂大药房'}}"
"{'type': 'node', 'id': 8857004652, 'lat': 45.211408, 'lon': 130.924426, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '刘筱牙镶复诊所'}}"
"{'type': 'node', 'id': 8857004721, 'lat': 45.2105321, 'lon': 130.916705, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '民康大药房'}}"
"{'type': 'node', 'id': 8867360937, 'lat': 45.2086344, 'lon': 130.9057942, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '天泰大药房'}}"
"{'type': 'node', 'id': 9893214522, 'lat': 45.3480495, 'lon': 130.838876, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '长寿堂连锁'}}"
"{'type': 'node', 'id': 9893214523, 'lat': 45.3475801, 'lon': 130.838058, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '益康医药连锁'}}"
"{'type': 'node', 'id': 9893214527, 'lat': 45.3464896, 'lon': 130.8379695, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '关桂萍压镶复所'}}"
"{'type': 'node', 'id': 9893214529, 'lat': 45.3464236, 'lon': 130.8380674, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '辰丰大药店'}}"
"{'type': 'node', 'id': 9893214530, 'lat': 45.3463916, 'lon': 130.8380944, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '益康医药连锁'}}"
"{'type': 'node', 'id': 9893214531, 'lat': 45.3462616, 'lon': 130.8382022, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '我爱我家医药'}}"
"{'type': 'node', 'id': 9893214534, 'lat': 45.3456102, 'lon': 130.8388465, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 9922166483, 'lat': 45.2829674, 'lon': 130.9398575, 'tags': {'amenity': 'pharmacy', 'brand': '老百姓大药房', 'brand:en': 'LBX Pharmacy', 'brand:wikidata': 'Q109744899', 'brand:zh': '老百姓大药房', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '老百姓大药房', 'name:en': 'LBX Pharmacy', 'name:zh': '老百姓大药房'}}"
"{'type': 'node', 'id': 9922166484, 'lat': 45.2825546, 'lon': 130.9406871, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '世纪辰浮医药连锁'}}"
"{'type': 'node', 'id': 9922166485, 'lat': 45.2826039, 'lon': 130.9406217, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '我爱我家医药'}}"
"{'type': 'node', 'id': 9922166486, 'lat': 45.2826441, 'lon': 130.9405221, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '辰星大药房'}}"
"{'type': 'node', 'id': 9922166487, 'lat': 45.2829114, 'lon': 130.9399535, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '龙峰大药房'}}"
"{'type': 'node', 'id': 11083522046, 'lat': 45.3456995, 'lon': 130.8405137, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 11591565337, 'lat': 45.2946679, 'lon': 130.9332364, 'tags': {'healthcare': 'sample_collection', 'name': '精工华丰检测'}}"
"{'type': 'node', 'id': 11591565338, 'lat': 45.2947101, 'lon': 130.93319, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '宝康医药连锁'}}"
"{'type': 'node', 'id': 11612593094, 'lat': 45.3214169, 'lon': 130.8962045, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '梁家村甲级卫生室'}}"
