OSM_Data
"{'type': 'node', 'id': 3840337963, 'lat': 6.7311795, 'lon': -3.4878618, 'tags': {'amenity': 'pharmacy', 'dispensing': 'Pharmacie du Marché', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'source': 'bing;survey'}}"
"{'type': 'node', 'id': 4256920799, 'lat': 6.6514385, 'lon': -4.2065206, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sion', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 4262495193, 'lat': 6.7266073, 'lon': -3.4984378, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du carrefour'}}"
"{'type': 'node', 'id': 8244553896, 'lat': 6.644428, 'lon': -4.1840597, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'clinic', 'name': 'Centre de santé'}}"
"{'type': 'node', 'id': 8301965820, 'lat': 5.9545229, 'lon': -4.1880192, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Rural de Moutcho'}}"
"{'type': 'node', 'id': 8331280259, 'lat': 5.9248333, 'lon': -4.2083455, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du Château'}}"
"{'type': 'node', 'id': 8455777021, 'lat': 6.0751691, 'lon': -3.409682, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Nouvelle Pharmacie de Bettié'}}"
"{'type': 'node', 'id': 8455777129, 'lat': 6.6733416, 'lon': -3.9712488, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""PHARMACIE D'ARRAH""}}"
"{'type': 'node', 'id': 8741924361, 'lat': 6.3333069, 'lon': -4.5462684, 'tags': {'description': ""centre de santé e'Allakro"", 'healthcare': 'yes', 'name': 'Dispensaire'}}"
"{'type': 'node', 'id': 9007786413, 'lat': 6.9090219, 'lon': -4.5178056, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 9134748259, 'lat': 6.7403369, 'lon': -3.5061576, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre Antituberculeux d'Abengourou""}}"
"{'type': 'node', 'id': 9134748260, 'lat': 6.7397636, 'lon': -3.5063221, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""District sanitaire d'Abengourou""}}"
"{'type': 'node', 'id': 10151639419, 'lat': 5.9233927, 'lon': -4.2161386, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Moayé'}}"
"{'type': 'node', 'id': 10151641417, 'lat': 5.9229082, 'lon': -4.2158413, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""Centre médico social d'Agboville""}}"
"{'type': 'node', 'id': 10151641617, 'lat': 5.923424, 'lon': -4.2163019, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""INHP antenne régionale d'Agboville""}}"
"{'type': 'node', 'id': 10292073609, 'lat': 6.2244547, 'lon': -3.7733036, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Dépot de produits pharmaceutiques'}}"
"{'type': 'node', 'id': 11186442126, 'lat': 6.7249166, 'lon': -3.5057628, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Saint Famille'}}"
"{'type': 'node', 'id': 11191123737, 'lat': 6.8300624, 'lon': -3.5738161, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Amelekia""}}"
"{'type': 'node', 'id': 11191243084, 'lat': 6.999512, 'lon': -3.3586163, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Apprompronou""}}"
"{'type': 'node', 'id': 11193827457, 'lat': 6.7300868, 'lon': -3.5081807, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre Médical Elohim'}}"
"{'type': 'node', 'id': 11247828193, 'lat': 6.5627461, 'lon': -3.7602631, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Liddell'}}"
"{'type': 'node', 'id': 11279387976, 'lat': 6.2442578, 'lon': -3.7937633, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 11279539060, 'lat': 6.1020832, 'lon': -3.856507, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Eureka'}}"
"{'type': 'node', 'id': 11381874993, 'lat': 5.9324246, 'lon': -4.221262, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sini Kényana'}}"
"{'type': 'node', 'id': 11770710931, 'lat': 6.7321767, 'lon': -3.4877967, 'tags': {'healthcare': 'nurse', 'name': 'Infirmière Cie'}}"
"{'type': 'node', 'id': 11804257747, 'lat': 7.0557647, 'lon': -3.9639277, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de santé des armées'}}"
"{'type': 'node', 'id': 12006442873, 'lat': 5.9302395, 'lon': -4.2157437, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 12472749301, 'lat': 6.3272377, 'lon': -3.4467669, 'tags': {'amenity': 'hospital', 'name': 'Hôpital'}}"
"{'type': 'node', 'id': 12473967103, 'lat': 6.3272284, 'lon': -3.4461388, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie'}}"
"{'type': 'node', 'id': 12473998903, 'lat': 6.4534713, 'lon': -3.3895982, 'tags': {'amenity': 'hospital', 'name': 'Centre de santé de Bokakokoré'}}"
