OSM_Data
"{'type': 'node', 'id': 2786430441, 'lat': 28.2045708, 'lon': 112.9699269, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 2786430698, 'lat': 28.2047954, 'lon': 112.9699764, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 2786440636, 'lat': 28.2042917, 'lon': 112.968976, 'tags': {'amenity': 'pharmacy', 'brand': 'Kinney Drugs', 'brand:wikidata': 'Q6414090', 'healthcare': 'pharmacy', 'name': 'Kinney Drugs'}}"
"{'type': 'node', 'id': 3133310982, 'lat': 28.1689439, 'lon': 112.939411, 'tags': {'amenity': 'clinic', 'name': '湖南大学医院天马保健所'}}"
"{'type': 'node', 'id': 3145051805, 'lat': 28.1909904, 'lon': 112.9884892, 'tags': {'addr:city': 'Changsha', 'addr:housenumber': '139', 'addr:postcode': '410011', 'addr:street': 'Renmin Road', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'The Second Xiangya Hospital', 'wikidata': 'Q17031457', 'wikipedia': 'zh:湘雅二医院'}}"
"{'type': 'node', 'id': 4398759924, 'lat': 28.1936483, 'lon': 112.9835637, 'tags': {'amenity': 'pharmacy', 'brand': '益丰大药房', 'brand:en': 'Yifeng Pharmacy', 'brand:wikidata': 'Q109766741', 'brand:zh': '益丰大药房', 'healthcare': 'pharmacy', 'name': '益丰大药房', 'name:en': 'Yifeng Pharmacy', 'name:zh': '益丰大药房'}}"
"{'type': 'node', 'id': 4652921412, 'lat': 28.2407943, 'lon': 112.9965172, 'tags': {'addr:city': '长沙市', 'addr:postcode': '410003', 'addr:street': '双拥路', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': '科大佳园综合门诊部', 'phone': '+86 731 8586 1796'}}"
"{'type': 'node', 'id': 5356088243, 'lat': 29.0422926, 'lon': 112.3672304, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '草尾镇医院'}}"
"{'type': 'node', 'id': 6091484044, 'lat': 28.2463575, 'lon': 113.0315764, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '楚济堂大药房(洪山路店)'}}"
"{'type': 'node', 'id': 6091484045, 'lat': 28.2470144, 'lon': 113.0315764, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '仁康泰大药房(藏珑店)'}}"
"{'type': 'node', 'id': 6140678221, 'lat': 28.2006237, 'lon': 112.8348138, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '雷锋医院'}}"
"{'type': 'node', 'id': 6187281478, 'lat': 28.2912885, 'lon': 112.8237794, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '望城区黄金镇桂芳村卫生室'}}"
"{'type': 'node', 'id': 7066624834, 'lat': 28.223155, 'lon': 112.8967626, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '赋新美容'}}"
"{'type': 'node', 'id': 7066819611, 'lat': 28.2155826, 'lon': 112.908603, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '望城坡医院'}}"
"{'type': 'node', 'id': 7066878678, 'lat': 28.2358881, 'lon': 112.947372, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '岳麓区滨江口腔门诊部'}}"
"{'type': 'node', 'id': 7068402309, 'lat': 28.2471539, 'lon': 112.9328896, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '湘爱门诊'}}"
"{'type': 'node', 'id': 7068402383, 'lat': 28.2502401, 'lon': 112.9287402, 'tags': {'healthcare': 'optometrist'}}"
"{'type': 'node', 'id': 7068402391, 'lat': 28.2503404, 'lon': 112.9298704, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 7068442885, 'lat': 28.2489664, 'lon': 112.948436, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙同欣医院'}}"
"{'type': 'node', 'id': 7069651927, 'lat': 28.2365058, 'lon': 112.921577, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙协盛医院'}}"
"{'type': 'node', 'id': 7071192108, 'lat': 28.2383018, 'lon': 112.9412418, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '长沙市岳麓区八方门诊部'}}"
"{'type': 'node', 'id': 7071192143, 'lat': 28.2384711, 'lon': 112.944503, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '刘振辉诊所'}}"
"{'type': 'node', 'id': 7071355814, 'lat': 28.2139738, 'lon': 112.9040386, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '李湘口腔诊所'}}"
"{'type': 'node', 'id': 7071421516, 'lat': 28.2249765, 'lon': 112.9061666, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '岳麓区肖戊生诊所'}}"
"{'type': 'node', 'id': 7071707582, 'lat': 28.2419431, 'lon': 112.954986, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '长沙孝宁门诊部'}}"
"{'type': 'node', 'id': 7071729996, 'lat': 28.2418704, 'lon': 112.9548534, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '雅顺鼻腔护理中心'}}"
"{'type': 'node', 'id': 7071729997, 'lat': 28.2419977, 'lon': 112.9554866, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '品尚口腔'}}"
"{'type': 'node', 'id': 7072193430, 'lat': 28.2156519, 'lon': 112.929973, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '迪和综合门诊部'}}"
"{'type': 'node', 'id': 7072332521, 'lat': 28.2413325, 'lon': 112.9535638, 'tags': {'healthcare': 'physiotherapist', 'name': '月子会所'}}"
"{'type': 'node', 'id': 7072332529, 'lat': 28.2395331, 'lon': 112.9525425, 'tags': {'healthcare': 'physiotherapist', 'name': '创新足专业修脚房'}}"
"{'type': 'node', 'id': 7072447089, 'lat': 28.2213497, 'lon': 112.9374471, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '杏林口腔连锁'}}"
"{'type': 'node', 'id': 7072456221, 'lat': 28.2418092, 'lon': 112.9199888, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '养天和大药房'}}"
"{'type': 'node', 'id': 7072741845, 'lat': 28.239924, 'lon': 112.9238668, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '岳麓区刘立科诊所'}}"
"{'type': 'node', 'id': 7074062410, 'lat': 28.250071, 'lon': 112.9463364, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '长沙市岳麓区众和门诊部'}}"
"{'type': 'node', 'id': 7074243058, 'lat': 28.2169393, 'lon': 112.9329607, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '20栋'}}"
"{'type': 'node', 'id': 7074243059, 'lat': 28.2171521, 'lon': 112.9326227, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '核医学科'}}"
"{'type': 'node', 'id': 7074243068, 'lat': 28.2179679, 'lon': 112.932336, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '住院部'}}"
"{'type': 'node', 'id': 7074243069, 'lat': 28.2187762, 'lon': 112.9316528, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '湖南省肿瘤医院'}}"
"{'type': 'node', 'id': 7074376272, 'lat': 28.2220496, 'lon': 112.9490841, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': '眼科', 'name': '杰视视光眼科门诊'}}"
"{'type': 'node', 'id': 7074394915, 'lat': 28.2202173, 'lon': 112.9466534, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '建设医院桐梓坡医务室'}}"
"{'type': 'node', 'id': 7074394960, 'lat': 28.2207932, 'lon': 112.949746, 'tags': {'healthcare': 'yes', 'name': '千里明视力康复保健中心(银盆南路)'}}"
"{'type': 'node', 'id': 7074432879, 'lat': 28.2174344, 'lon': 112.9094612, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '医院办公室'}}"
"{'type': 'node', 'id': 7074432880, 'lat': 28.217343, 'lon': 112.9096157, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '望城人民医院分院'}}"
"{'type': 'node', 'id': 7074467451, 'lat': 28.2133521, 'lon': 112.917415, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '望城坡社区卫生服务站'}}"
"{'type': 'node', 'id': 7074467453, 'lat': 28.2129282, 'lon': 112.9186385, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '湖湘中医肿瘤医院'}}"
"{'type': 'node', 'id': 7074468369, 'lat': 28.2140089, 'lon': 112.9135094, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '麓山医院'}}"
"{'type': 'node', 'id': 7074491725, 'lat': 28.2262643, 'lon': 112.9295958, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '一雅国际医疗整形'}}"
"{'type': 'node', 'id': 7074557163, 'lat': 28.2142668, 'lon': 112.9179377, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '岳麓区疾病预防控制中心'}}"
"{'type': 'node', 'id': 7074565945, 'lat': 28.2230712, 'lon': 112.946601, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙红枫康复医院'}}"
"{'type': 'node', 'id': 7075542656, 'lat': 28.2245076, 'lon': 112.930099, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '牙大夫口腔连锁'}}"
"{'type': 'node', 'id': 7075542700, 'lat': 28.2246376, 'lon': 112.9314442, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '岳麓区吴雅松诊所'}}"
"{'type': 'node', 'id': 7075542770, 'lat': 28.2223374, 'lon': 112.9296655, 'tags': {'healthcare': 'blood_donation', 'name': '献血点'}}"
"{'type': 'node', 'id': 7075542919, 'lat': 28.2251798, 'lon': 112.9395013, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '外科楼'}}"
"{'type': 'node', 'id': 7075542930, 'lat': 28.2248162, 'lon': 112.9393779, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '内科楼'}}"
"{'type': 'node', 'id': 7075542946, 'lat': 28.2226529, 'lon': 112.9390939, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '门急诊楼'}}"
"{'type': 'node', 'id': 7075542948, 'lat': 28.2229781, 'lon': 112.9399059, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '健康管理中心'}}"
"{'type': 'node', 'id': 7075542951, 'lat': 28.2231227, 'lon': 112.940275, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'ECT检查区'}}"
"{'type': 'node', 'id': 7075542952, 'lat': 28.22369, 'lon': 112.9400905, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '医技楼'}}"
"{'type': 'node', 'id': 7075542953, 'lat': 28.2240079, 'lon': 112.9401151, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '干部医疗中心'}}"
"{'type': 'node', 'id': 7075542955, 'lat': 28.222194, 'lon': 112.9398034, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '湘雅三医院医疗美容中心'}}"
"{'type': 'node', 'id': 7075542964, 'lat': 28.2227669, 'lon': 112.9400803, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '预防接种门诊'}}"
"{'type': 'node', 'id': 7075542965, 'lat': 28.2247142, 'lon': 112.9400455, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '感染科'}}"
"{'type': 'node', 'id': 7075628143, 'lat': 28.2175757, 'lon': 112.9143169, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '老虎岭社区卫生服务站'}}"
"{'type': 'node', 'id': 7076626734, 'lat': 28.2139711, 'lon': 112.9263129, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙美奥口腔医院'}}"
"{'type': 'node', 'id': 7076680001, 'lat': 28.2155626, 'lon': 112.9237302, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '陈建纯诊所'}}"
"{'type': 'node', 'id': 7076885608, 'lat': 28.2128513, 'lon': 112.9242881, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': '北京同仁堂靓肤馆'}}"
"{'type': 'node', 'id': 7076927447, 'lat': 28.2168783, 'lon': 112.9485324, 'tags': {'healthcare': 'yes', 'name': '岳麓区康雅门诊部'}}"
"{'type': 'node', 'id': 7087387367, 'lat': 28.2491684, 'lon': 112.9529807, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙丽雅口腔'}}"
"{'type': 'node', 'id': 7860222492, 'lat': 29.0644335, 'lon': 112.3207152, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '益汉大药房'}}"
"{'type': 'node', 'id': 7860222536, 'lat': 29.0629784, 'lon': 112.3214588, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '湘丰大药房'}}"
"{'type': 'node', 'id': 9299427901, 'lat': 28.1701685, 'lon': 112.9350219, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '养天和大药房', 'name:en': 'Tianhe Pharmacy', 'name:zh': '养天和大药房'}}"
"{'type': 'node', 'id': 9954056122, 'lat': 28.246236, 'lon': 112.9307928, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'level': '1', 'name': '医务室'}}"
"{'type': 'node', 'id': 9954439796, 'lat': 28.2448196, 'lon': 112.931722, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'psychiatry', 'name': '心理咨询中心'}}"
"{'type': 'node', 'id': 12169230523, 'lat': 28.283766, 'lon': 112.5849209, 'tags': {'addr:city': '长沙市', 'addr:district': '宁乡市', 'addr:province': '湖南省', 'addr:street': '发展路', 'amenity': 'hospital', 'emergency': 'no', 'healthcare': 'hospital', 'name': '怡宁新村街道卫生室'}}"
"{'type': 'node', 'id': 12169259649, 'lat': 28.2891095, 'lon': 112.5754416, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
