OSM_Data
"{'type': 'node', 'id': 2899084831, 'lat': 5.4327675, 'lon': -4.0147336, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Saint François Xavier'}}"
"{'type': 'node', 'id': 4614098914, 'lat': 5.4645774, 'lon': -4.184962, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Attinguié""}}"
"{'type': 'node', 'id': 4964932648, 'lat': 5.4694624, 'lon': -4.1906548, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Maternité', 'operator': 'infirmier, sage femme'}}"
"{'type': 'node', 'id': 5254411022, 'lat': 5.4335283, 'lon': -3.9884733, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Nouvelle Pharmacie Abobo Belleville', 'opening_hours': 'Mo-Fr 08:00-20:00'}}"
"{'type': 'node', 'id': 5298481921, 'lat': 5.4370167, 'lon': -4.0349656, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie La vierge du signe'}}"
"{'type': 'node', 'id': 5469322821, 'lat': 5.5409266, 'lon': -3.9682524, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': ""Maternité d'Attiekoi""}}"
"{'type': 'node', 'id': 5599203446, 'lat': 5.4390365, 'lon': -4.0683042, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie olympique'}}"
"{'type': 'node', 'id': 5864438642, 'lat': 6.0010813, 'lon': -4.3196448, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 5864438643, 'lat': 5.4828537, 'lon': -4.0514091, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Meydeba'}}"
"{'type': 'node', 'id': 5955716932, 'lat': 5.4424965, 'lon': -4.0482172, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique PrivéeSte Marie'}}"
"{'type': 'node', 'id': 5957127902, 'lat': 5.438236, 'lon': -4.0406275, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Privée'}}"
"{'type': 'node', 'id': 5957513458, 'lat': 5.4387751, 'lon': -4.0445387, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Privée'}}"
"{'type': 'node', 'id': 5957653289, 'lat': 5.4427746, 'lon': -4.0581457, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique ONG Assistance Médicale'}}"
"{'type': 'node', 'id': 5957716287, 'lat': 5.4409528, 'lon': -4.0596843, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Carrefour Diallo'}}"
"{'type': 'node', 'id': 5957781493, 'lat': 5.437455, 'lon': -4.0556603, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'Cabinet Dentaire'}}"
"{'type': 'node', 'id': 5957781499, 'lat': 5.4382707, 'lon': -4.0561183, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Assomin'}}"
"{'type': 'node', 'id': 5957889696, 'lat': 5.4370919, 'lon': -4.0542817, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'ONG AMSP Clinique'}}"
"{'type': 'node', 'id': 5957911018, 'lat': 5.4371413, 'lon': -4.0438908, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacir Iris'}}"
"{'type': 'node', 'id': 5957911510, 'lat': 5.4353082, 'lon': -4.0467668, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22508116231', 'description': 'Accouchement Assistance sociale, soutien social Conseil et dépistage volontaire (CDV) Conseil,', 'healthcare': 'doctor', 'name': 'Centre de la formation sanitaire communautaire Anonkoi Kouté', 'opening_hours': '24/7', 'operator:type': 'public', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_331'}}"
"{'type': 'node', 'id': 5958089838, 'lat': 5.4429261, 'lon': -4.0535206, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': ""Clinique ONG Santé Côte d'Ivoire""}}"
"{'type': 'node', 'id': 5958089865, 'lat': 5.4428637, 'lon': -4.0551651, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Santé au quotidien'}}"
"{'type': 'node', 'id': 5958424154, 'lat': 5.4362501, 'lon': -4.0490828, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22509500188', 'description': 'Consultations', 'healthcare': 'doctor', 'name': 'ONG ADP Cabinet de Soin de Santé la Grâce', 'note': 'Santé', 'office': 'ngo', 'opening_hours': 'We 08:00-12:00; Su 08:00-12:00', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_334', 'source': 'DigitalGlobe Standard; survey', 'source:date': '2019-06-14'}}"
"{'type': 'node', 'id': 5960066967, 'lat': 5.4434862, 'lon': -4.0595998, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique ONG'}}"
"{'type': 'node', 'id': 5960161572, 'lat': 5.4325239, 'lon': -4.0665226, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Espace Médicale Limanya'}}"
"{'type': 'node', 'id': 5961009137, 'lat': 5.435335, 'lon': -4.0370229, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22522475947', 'description': 'Accouchement Assistance sociale, soutien social Conseil et dépistage volontaire (CDV) Conseil,', 'healthcare': 'doctor', 'name': 'Centre de Santé Communautaire Abobo Anonkoua 3', 'opening_hours': '24/7', 'operator:type': 'public', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_370'}}"
"{'type': 'node', 'id': 5961173856, 'lat': 5.4344478, 'lon': -4.0360835, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médicale Grâce Maeva'}}"
"{'type': 'node', 'id': 5961253689, 'lat': 5.4364657, 'lon': -4.0345185, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22505102764', 'description': 'Conseil et dépistage du VIH Prévention de la transmission mère-enfant du VIH,', 'healthcare': 'doctor', 'name': 'ONG Comupasc centre de santé la Fraternité', 'note': 'Santé', 'office': 'ngo', 'opening_hours': 'We 09:00-12:00,14:00-16:00; Sa 09:00-12:00,14:00-16:00', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_365', 'source': 'DigitalGlobe Standard; survey', 'source:date': '2019-06-14'}}"
"{'type': 'node', 'id': 5963809709, 'lat': 5.4491191, 'lon': -4.0519702, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Union'}}"
"{'type': 'node', 'id': 5964123492, 'lat': 5.436957, 'lon': -4.0757386, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de Santé Cote D Ivoire'}}"
"{'type': 'node', 'id': 5964153222, 'lat': 5.4505252, 'lon': -4.0625663, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de Santé Marie'}}"
"{'type': 'node', 'id': 5964153300, 'lat': 5.4509798, 'lon': -4.0595381, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cabinet De Soins Cheikh Ahmad Tijani'}}"
"{'type': 'node', 'id': 5964153349, 'lat': 5.4552003, 'lon': -4.0633131, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Bincadi'}}"
"{'type': 'node', 'id': 5964319405, 'lat': 5.4481608, 'lon': -4.0530062, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Médicale'}}"
"{'type': 'node', 'id': 5964319460, 'lat': 5.4448886, 'lon': -4.0548523, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""CSU d'Abobo PK 18""}}"
"{'type': 'node', 'id': 5964359599, 'lat': 5.4361373, 'lon': -4.0710072, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical ACID'}}"
"{'type': 'node', 'id': 5964640503, 'lat': 5.4494351, 'lon': -4.0591089, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""Cabinet Médical Sainte Jeanne d'Arc""}}"
"{'type': 'node', 'id': 5964640552, 'lat': 5.4458819, 'lon': -4.060722, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 5964640568, 'lat': 5.4444955, 'lon': -4.0591566, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Source de Vie'}}"
"{'type': 'node', 'id': 5964685231, 'lat': 5.4484359, 'lon': -4.0628345, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Le Social LA Aziz'}}"
"{'type': 'node', 'id': 5964688056, 'lat': 5.4433945, 'lon': -4.0713416, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie Carrefour N'Dotré""}}"
"{'type': 'node', 'id': 5964688066, 'lat': 5.4431978, 'lon': -4.0715121, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 5964688449, 'lat': 5.4384897, 'lon': -4.0698948, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cabinet Medical Sanctu'}}"
"{'type': 'node', 'id': 5966374017, 'lat': 5.4437318, 'lon': -4.0805713, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Privé Saint Ornella'}}"
"{'type': 'node', 'id': 5966468464, 'lat': 5.4422025, 'lon': -4.076542, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical Ong Smi'}}"
"{'type': 'node', 'id': 5966474731, 'lat': 5.4454066, 'lon': -4.0668672, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""Centre de Soins Tabitha de N'Dotré""}}"
"{'type': 'node', 'id': 5966475918, 'lat': 5.4454393, 'lon': -4.0674593, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""ONG Saint Sauveur de N'Dotré""}}"
"{'type': 'node', 'id': 5966475923, 'lat': 5.4447972, 'lon': -4.0653444, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""ONG Santé au Quotidien Antenne d'Abobo""}}"
"{'type': 'node', 'id': 5966476388, 'lat': 5.4530644, 'lon': -4.0675404, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de Soins Mouna'}}"
"{'type': 'node', 'id': 5966476399, 'lat': 5.4465775, 'lon': -4.0657206, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Médicale Grâce Divine'}}"
"{'type': 'node', 'id': 5966477230, 'lat': 5.4511687, 'lon': -4.0683331, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Privée'}}"
"{'type': 'node', 'id': 5966514816, 'lat': 5.4450388, 'lon': -4.0687736, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Privée'}}"
"{'type': 'node', 'id': 5966515093, 'lat': 5.4500302, 'lon': -4.06982, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 5966515105, 'lat': 5.4435837, 'lon': -4.0693834, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Espace Médical Le Phinx'}}"
"{'type': 'node', 'id': 5966515106, 'lat': 5.4436984, 'lon': -4.0664615, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical'}}"
"{'type': 'node', 'id': 5966540238, 'lat': 5.4491061, 'lon': -4.0754919, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical Relucis'}}"
"{'type': 'node', 'id': 5966690610, 'lat': 5.450402, 'lon': -4.050782, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Résidence Abobo PK18'}}"
"{'type': 'node', 'id': 5966930674, 'lat': 5.4423794, 'lon': -4.0737142, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical La Piscine De Bethesda'}}"
"{'type': 'node', 'id': 5967078124, 'lat': 5.4559615, 'lon': -4.0655556, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Privée'}}"
"{'type': 'node', 'id': 5967097911, 'lat': 5.4487763, 'lon': -4.0654329, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de Santé Prénatale Espérance'}}"
"{'type': 'node', 'id': 5967133274, 'lat': 5.4514918, 'lon': -4.0750279, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Ong Lafed'}}"
"{'type': 'node', 'id': 5967751708, 'lat': 5.453748, 'lon': -4.0480234, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Social Le Siloé De Pk18'}}"
"{'type': 'node', 'id': 5968504300, 'lat': 5.4570589, 'lon': -4.0439793, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Source de Vie'}}"
"{'type': 'node', 'id': 5968549407, 'lat': 5.4492142, 'lon': -4.071022, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical Olympique'}}"
"{'type': 'node', 'id': 5968549443, 'lat': 5.4435249, 'lon': -4.072632, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical Fatima Zahra'}}"
"{'type': 'node', 'id': 5968573355, 'lat': 5.4479022, 'lon': -4.0506285, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Milieu hevie'}}"
"{'type': 'node', 'id': 5968573590, 'lat': 5.4422666, 'lon': -4.046241, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre médical Fatima'}}"
"{'type': 'node', 'id': 5968822667, 'lat': 5.4508603, 'lon': -4.046874, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cabinet Médical'}}"
"{'type': 'node', 'id': 5968822668, 'lat': 5.4508615, 'lon': -4.0479729, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': ""ONG Santé de Côte d'Ivoire""}}"
"{'type': 'node', 'id': 5968822676, 'lat': 5.4504284, 'lon': -4.0492954, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Saint Alexandra'}}"
"{'type': 'node', 'id': 5968822678, 'lat': 5.4501254, 'lon': -4.0507961, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique Médical Biraya'}}"
"{'type': 'node', 'id': 5969127243, 'lat': 5.4373349, 'lon': -4.0526113, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Nour'}}"
"{'type': 'node', 'id': 5969138069, 'lat': 5.444368, 'lon': -4.0425865, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cabinet Médical'}}"
"{'type': 'node', 'id': 5969936677, 'lat': 5.4388635, 'lon': -4.0405601, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Bsa'}}"
"{'type': 'node', 'id': 5970044233, 'lat': 5.4369468, 'lon': -4.0793591, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Cente De Santé Yahvé Rapha'}}"
"{'type': 'node', 'id': 5970044243, 'lat': 5.4360886, 'lon': -4.0811916, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Medical Social'}}"
"{'type': 'node', 'id': 5970063100, 'lat': 5.4407686, 'lon': -4.0568143, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre De Soins Médicaux'}}"
"{'type': 'node', 'id': 5970125483, 'lat': 5.4413107, 'lon': -4.0469559, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'ONG Centre de Santé Salem', 'office': 'ngo'}}"
"{'type': 'node', 'id': 5970125588, 'lat': 5.4428393, 'lon': -4.0478054, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Privée Saint Horeb'}}"
"{'type': 'node', 'id': 5970172295, 'lat': 5.4570735, 'lon': -4.0541442, 'tags': {'amenity': 'pharmacy', 'dispensing': 'no', 'healthcare': 'pharmacy', 'name': ""Pharmacie Route D'Anyama""}}"
"{'type': 'node', 'id': 5970172596, 'lat': 5.4567478, 'lon': -4.0522116, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Le Prestige'}}"
"{'type': 'node', 'id': 5970172760, 'lat': 5.4559274, 'lon': -4.0540479, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22505050702', 'description': 'Conseil et dépistage du VIH Prévention de la transmission mère-enfant du VIH Centre accueil', 'healthcare': 'doctor', 'name': 'Centre De Santé Communautaire Christ-Roi', 'note': ""Santé Éducation, Laboratoire d'analyses biologiques"", 'office': 'ngo', 'opening_hours': 'Mo-Fr 08:00-17:00', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_328', 'source': 'DigitalGlobe Standard; survey', 'source:date': '2019-06-14'}}"
"{'type': 'node', 'id': 5972443358, 'lat': 5.4380885, 'lon': -4.058089, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Clinique ONG Santé'}}"
"{'type': 'node', 'id': 5972603644, 'lat': 5.4568693, 'lon': -4.0496957, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre Médical Douahou'}}"
"{'type': 'node', 'id': 5989574455, 'lat': 5.4719136, 'lon': -3.1999119, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie rive gauche'}}"
"{'type': 'node', 'id': 5991262064, 'lat': 5.4692768, 'lon': -3.2075017, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du Sanwi'}}"
"{'type': 'node', 'id': 6012012345, 'lat': 5.4668816, 'lon': -3.2066592, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Divine Miséricorde'}}"
"{'type': 'node', 'id': 6137061184, 'lat': 6.1036408, 'lon': -3.8615018, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de santé scolaire et universitaire'}}"
"{'type': 'node', 'id': 6320440486, 'lat': 5.9309666, 'lon': -4.2143906, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Grande Pharmacie de l'Agneby""}}"
"{'type': 'node', 'id': 6320440490, 'lat': 5.9302448, 'lon': -4.219722, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande Pharmacie Commerce'}}"
"{'type': 'node', 'id': 6358599865, 'lat': 5.4717213, 'lon': -3.2050668, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sokoura'}}"
"{'type': 'node', 'id': 6358599866, 'lat': 5.4673331, 'lon': -3.2091397, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Bia'}}"
"{'type': 'node', 'id': 6466415860, 'lat': 6.7284689, 'lon': -3.5079145, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique médicale saint david'}}"
"{'type': 'node', 'id': 6466420560, 'lat': 6.7414124, 'lon': -3.5057019, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Providence'}}"
"{'type': 'node', 'id': 6482114690, 'lat': 6.3887875, 'lon': -3.8880214, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande pharmacie'}}"
"{'type': 'node', 'id': 6482115856, 'lat': 6.0929274, 'lon': -3.8640203, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie ADZOPE'}}"
"{'type': 'node', 'id': 6583236573, 'lat': 5.4496408, 'lon': -4.0706108, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie N’Dotré'}}"
"{'type': 'node', 'id': 6583251862, 'lat': 5.453097, 'lon': -4.0722983, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre medical Saint Antoine de Padou'}}"
"{'type': 'node', 'id': 6583257330, 'lat': 5.4528112, 'lon': -4.0831821, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:mobile': '+22589825799', 'contact:phone': '+22552797754', 'description': 'Consultation generale et prenatale, maternité, planning familial, échographie, vaccination,', 'healthcare': 'doctor', 'name': 'Centre médical Lafed ONG', 'note': 'Santé', 'office': 'ngo', 'opening_hours': 'Mo-Sa 07:00-16:30', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_381', 'source': 'DigitalGlobe Standard; survey', 'source:date': '2019-06-14'}}"
"{'type': 'node', 'id': 6583257554, 'lat': 5.4605238, 'lon': -4.0724562, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Paul Marie'}}"
"{'type': 'node', 'id': 6625112472, 'lat': 5.4419208, 'lon': -4.0441275, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'clinic', 'contact:phone': '+22572262672', 'description': ""Consultation Vaccination, prévention, cas de morsures de d'animaux"", 'healthcare': 'clinic', 'name': ""Institut National d'Hygiène Publique"", 'opening_hours': 'Mo-Sa 00:00-00:00', 'operator:type': 'public', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_357', 'short_name': 'INHP'}}"
"{'type': 'node', 'id': 6625197289, 'lat': 5.4371123, 'lon': -4.0153841, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22524390193', 'description': 'Consultation Dépistage VIH, IST Soins bucco-dentaires Traitement VIH / SIDA (ARV),', 'healthcare': 'doctor', 'name': 'Service de Santé Scolaire et Universitaire', 'opening_hours': '24/7', 'operator:type': 'public', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_375', 'short_name': 'SSUS'}}"
"{'type': 'node', 'id': 6625197290, 'lat': 5.4369462, 'lon': -4.0155602, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'doctors', 'contact:phone': '+22524390193', 'description': 'Conseil et dépistage volontaire (CDV) Prise en charge des sujets séropositifs Suivi des séropositifs Dépistage VIH, IST', 'healthcare': 'doctor', 'name': ""Centre antituberculeux d'Abobo"", 'opening_hours': 'Mo-Sa 00:00-23:59', 'operator:type': 'public', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_363', 'short_name': ""CAT d'Abobo""}}"
"{'type': 'node', 'id': 6665445657, 'lat': 5.4325252, 'lon': -4.066485, 'tags': {'addr:suburb': 'Abobo', 'amenity': 'clinic', 'contact:phone': '+22571434174', 'description': 'Conseil et dépistage du VIH Prévention de la transmission mère-enfant du VIH,', 'healthcare': 'clinic', 'name': 'Ong Ivoire Santé', 'note': 'Santé', 'office': 'ngo', 'opening_hours': '24/7', 'project:geoloc_unicef': 'yes', 'project:geoloc_unicef:id': 'ABJ_330', 'source': 'DigitalGlobe Standard; survey', 'source:date': '2019-06-14'}}"
"{'type': 'node', 'id': 7541757331, 'lat': 5.4703248, 'lon': -4.0348552, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre médical Afrique futur'}}"
"{'type': 'node', 'id': 7541758378, 'lat': 5.5016584, 'lon': -4.0462943, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de traitement des maladies infectieuses'}}"
"{'type': 'node', 'id': 7541764065, 'lat': 5.4605487, 'lon': -4.0426212, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie santé pour tous'}}"
