OSM_Data
"{'type': 'node', 'id': 6474775908, 'lat': 8.8462295, 'lon': 8.1213505, 'tags': {'healthcare': 'hospital', 'name': 'General Hospital Gakaru', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9939685054, 'lat': 8.4709989, 'lon': 8.1627735, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685093, 'lat': 8.4735844, 'lon': 8.162539, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685096, 'lat': 8.4715706, 'lon': 8.1636433, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685097, 'lat': 8.4670892, 'lon': 8.1680096, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685101, 'lat': 8.4695051, 'lon': 8.1630629, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685113, 'lat': 8.4695852, 'lon': 8.1636881, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685823, 'lat': 8.2879062, 'lon': 7.9784916, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685826, 'lat': 8.2873026, 'lon': 7.9817345, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685831, 'lat': 8.2873565, 'lon': 7.9821968, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685833, 'lat': 8.2886702, 'lon': 7.9824805, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685842, 'lat': 8.2884794, 'lon': 7.980761, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685846, 'lat': 8.2874597, 'lon': 7.982804, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685852, 'lat': 8.2869254, 'lon': 7.9834252, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685853, 'lat': 8.2874816, 'lon': 7.9768816, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091942279, 'lat': 9.3488633, 'lon': 9.1392583, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091942290, 'lat': 9.3495853, 'lon': 9.1389762, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091942292, 'lat': 9.3475099, 'lon': 9.1371844, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091990568, 'lat': 8.5384969, 'lon': 9.0038648, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091996881, 'lat': 8.6430874, 'lon': 8.9802358, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091996913, 'lat': 8.6432899, 'lon': 8.979875, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091999129, 'lat': 8.6346478, 'lon': 8.9660132, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091999131, 'lat': 8.6328814, 'lon': 8.964452, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10091999185, 'lat': 8.6324745, 'lon': 8.9644349, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10092006939, 'lat': 9.4258095, 'lon': 9.0986572, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10092007002, 'lat': 9.4257868, 'lon': 9.0984626, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10092007015, 'lat': 9.4248633, 'lon': 9.0978502, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10092008517, 'lat': 9.2886393, 'lon': 9.0911615, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10092008520, 'lat': 9.288419, 'lon': 9.0927471, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101429979, 'lat': 8.5511426, 'lon': 9.1396396, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101429980, 'lat': 8.550667, 'lon': 9.1403482, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101429987, 'lat': 8.5503432, 'lon': 9.1399034, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101429992, 'lat': 8.5510698, 'lon': 9.1405653, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101429999, 'lat': 8.5499536, 'lon': 9.1375314, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101430000, 'lat': 8.5506531, 'lon': 9.1395474, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101430422, 'lat': 9.1238068, 'lon': 8.87549, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101430455, 'lat': 9.1239435, 'lon': 8.875902, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10101430479, 'lat': 9.1247765, 'lon': 8.8744636, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917123, 'lat': 8.4374404, 'lon': 9.1002857, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917147, 'lat': 8.4386367, 'lon': 9.0991332, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917161, 'lat': 8.4382178, 'lon': 9.0999056, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917173, 'lat': 8.4384418, 'lon': 9.1002103, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917176, 'lat': 8.4382934, 'lon': 9.100281, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917182, 'lat': 8.4380219, 'lon': 9.100447, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125917189, 'lat': 8.4376776, 'lon': 9.100507, 'tags': {'healthcare': 'laboratory', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125920324, 'lat': 8.4382697, 'lon': 9.1008462, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125920336, 'lat': 8.4378934, 'lon': 9.1007576, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125920361, 'lat': 8.4361283, 'lon': 9.1004978, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10125920382, 'lat': 8.4335894, 'lon': 9.1010622, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126147297, 'lat': 8.4220038, 'lon': 9.0138048, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126148302, 'lat': 8.4304114, 'lon': 9.0634189, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126191207, 'lat': 8.5243718, 'lon': 8.3172646, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126191212, 'lat': 8.5250315, 'lon': 8.3163285, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126204793, 'lat': 8.3953848, 'lon': 9.1138321, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126219627, 'lat': 8.4308206, 'lon': 9.0638544, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126219632, 'lat': 8.4308257, 'lon': 9.0636667, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126219635, 'lat': 8.4307539, 'lon': 9.0634656, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126219654, 'lat': 8.4308219, 'lon': 9.0620902, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126219675, 'lat': 8.4311301, 'lon': 9.057613, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126220905, 'lat': 8.4323919, 'lon': 8.2351884, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126221318, 'lat': 8.4323082, 'lon': 8.234561, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126221333, 'lat': 8.433805, 'lon': 8.2383083, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126236829, 'lat': 8.5259944, 'lon': 8.3171548, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126236833, 'lat': 8.5262431, 'lon': 8.316951, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126236859, 'lat': 8.5298349, 'lon': 8.3102934, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126236864, 'lat': 8.5287674, 'lon': 8.3125312, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126311002, 'lat': 8.6339041, 'lon': 8.6793681, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126316381, 'lat': 8.6234256, 'lon': 8.6816165, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126333879, 'lat': 8.6350785, 'lon': 8.6783192, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126333895, 'lat': 8.6377314, 'lon': 8.6788875, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360336, 'lat': 8.69247, 'lon': 8.8058179, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360338, 'lat': 8.6906118, 'lon': 8.8068627, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360367, 'lat': 8.693042, 'lon': 8.8011316, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360373, 'lat': 8.6931128, 'lon': 8.8038056, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360378, 'lat': 8.6927473, 'lon': 8.804501, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360386, 'lat': 8.6924728, 'lon': 8.8073738, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126360394, 'lat': 8.6927484, 'lon': 8.8053867, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126366085, 'lat': 8.6797112, 'lon': 8.684431, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126366108, 'lat': 8.6743217, 'lon': 8.6814499, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126378546, 'lat': 8.6766876, 'lon': 8.7624741, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126378567, 'lat': 8.6785748, 'lon': 8.7655347, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126378577, 'lat': 8.6772623, 'lon': 8.7634172, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126378596, 'lat': 8.6760568, 'lon': 8.7623733, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126378605, 'lat': 8.6756847, 'lon': 8.761886, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126418774, 'lat': 8.7429633, 'lon': 8.7606681, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126418789, 'lat': 8.7441279, 'lon': 8.7569434, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126424580, 'lat': 8.760266, 'lon': 8.7976367, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126424582, 'lat': 8.7615271, 'lon': 8.8009461, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126428226, 'lat': 8.7455958, 'lon': 8.7563572, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126428251, 'lat': 8.7497151, 'lon': 8.7563804, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126431337, 'lat': 8.7668687, 'lon': 8.7916925, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126431367, 'lat': 8.7693407, 'lon': 8.7946149, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126431384, 'lat': 8.7696202, 'lon': 8.7943515, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126438149, 'lat': 8.7574173, 'lon': 8.7553358, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126438172, 'lat': 8.7587618, 'lon': 8.7552725, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126445842, 'lat': 8.7610156, 'lon': 8.7557092, 'tags': {'healthcare': 'clinic', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126445845, 'lat': 8.7560761, 'lon': 8.7553564, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126445867, 'lat': 8.7565969, 'lon': 8.7557902, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126445897, 'lat': 8.7541195, 'lon': 8.7563026, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10126445941, 'lat': 8.7554893, 'lon': 8.7557003, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 10309342605, 'lat': 8.6863629, 'lon': 8.0076147, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Kofar Gwari Primary Health Centre', 'source': 'Nigeria HFR'}}"
